"Description: ","Standardised Precipitation Index"
"Station: ","sydney"
"Latitude: ","0"
"Longitude: ","0"
"Base period: ","1971 - 2000"
"ClimPACT_version: ","2.0.0"
"Date_of_calculation: ","2017-11-08"
time, spi
2005-06, -1.24831318240694
2005-07, -1.27108751335349
2005-08, -1.40716105198129
2005-09, -1.29500328905305
2005-10, -1.5051159836853
2005-11, -1.50229189109307
2005-12, -1.54848301119746
2006-01, -1.39328708967171
2006-02, -1.43033442629449
2006-03, -1.61325273573354
2006-04, -1.72165202025425
2006-05, -1.67340210123422
2006-06, -1.22866850151333
2006-07, -1.05604247666258
2006-08, -1.23905285769359
2006-09, -0.946597403508164
2006-10, -1.49470044754621
2006-11, -1.58433711616793
2006-12, -1.55136198481597
2007-01, -1.61892178069576
2007-02, -1.50503415947524
2007-03, -1.75754756462125
2007-04, -1.4647546752336
2007-05, -1.582619113691
2007-06, -0.560683181465719
2007-07, -0.574485636201037
2007-08, -0.300086035603843
2007-09, -0.315738321051759
2007-10, -0.374861919067081
2007-11, -0.299403858065055
2007-12, -0.0867636508564793
2008-01, -0.215588681078513
2008-02, 0.186982213371047
2008-03, 0.228691950514629
2008-04, 0.463524484821377
2008-05, 0.408724543596407
2008-06, 0.309720125175667
2008-07, 0.214124934325887
2008-08, 0.145078357657505
2008-09, -0.0217872915668891
2008-10, 0.0573481125733062
2008-11, 0.104260899410086
2008-12, 0.0823881789908909
2009-01, 0.0419515422766069
2009-02, 0.0920983668934169
2009-03, 0.0817826910272027
2009-04, 0.021297035867027
2009-05, 0.240009970984319
2009-06, -0.440731705784866
2009-07, -0.488316268953906
2009-08, -0.800505343193756
2009-09, -0.845773531778038
2009-10, -0.573944227584116
2009-11, -0.929530090993309
2009-12, -1.0245053790288
2010-01, -1.08077607929535
2010-02, -1.01171727820669
2010-03, -1.06892929916374
2010-04, -1.36821364332611
2010-05, -1.01876409181695
2010-06, -0.885316995649825
2010-07, -0.861687985938947
2010-08, -0.92719631880389
2010-09, -1.04009465577295
2010-10, -1.05815731400608
2010-11, -0.960387045162833
2010-12, -0.868392293190153
2011-01, -0.813708746269932
2011-02, -0.948248661947947
2011-03, -0.708163472398507
2011-04, -0.628271441139574
2011-05, -0.617586393707401
2011-06, -0.624420409227088
2011-07, -0.21373279378555
2011-08, -0.135272538527594
2011-09, -0.0305559872535196
2011-10, -0.322694681893401
2011-11, -0.0692388182262292
2011-12, -0.0290458124997804
2012-01, 0.164766591126825
2012-02, -0.0552739619076145
2012-03, 0.327719452723227
2012-04, 0.596280635824468
2012-05, 0.378595036976501
2012-06, 0.523436968453542
2012-07, 0.420735351483892
2012-08, 0.419190482582239
2012-09, 0.386318171171529
2012-10, 0.289119664475394
2012-11, 0.140294062332568
2012-12, 0.0842750718406425
2013-01, 0.241062552553849
2013-02, 0.486751493562352
2013-03, 0.279425445651275
2013-04, 0.262096209860651
2013-05, 0.223511536986588
2013-06, 0.588311637877772
2013-07, 0.164089624907448
2013-08, 0.100813056791522
2013-09, 0.0371121026645515
2013-10, 0.0343649251513411
2013-11, 0.111101663242635
2013-12, 0.0373355959237517
2014-01, -0.200159558019848
2014-02, -0.26128246702353
2014-03, -0.596126028509581
2014-04, -0.758873343016436
2014-05, -0.791795968545656
2014-06, -1.07132469823226
2014-07, -1.18585653253477
2014-08, -0.80711153942248
2014-09, -0.746107361317461
2014-10, -0.671719998796782
2014-11, -0.769568853902441
2014-12, -0.590198275266099
2015-01, -0.538039717201026
2015-02, -0.680272270924096
2015-03, -0.703725187437854
2015-04, -0.397227669428028
2015-05, -0.403096229058312
2015-06, -0.749944441713203
2015-07, -0.746423219982352
2015-08, -0.656035875007673
2015-09, -0.562331706735392
2015-10, -0.59867036567652
2015-11, -0.76742096489024
2015-12, -0.603073254994887
